"","stop","Type"
"983",1,"Permanent"
"984",1,"Permanent"
"985",2,"Permanent"
"986",1,"Permanent"
"987",1,"Permanent"
"988",1,"Permanent"
"989",1,"Permanent"
"990",2,"Permanent"
"991",1,"Permanent"
"992",2,"Permanent"
"993",2,"Permanent"
"994",3,"Permanent"
"995",2,"Permanent"
"996",2,"Permanent"
"997",2,"Permanent"
"998",2,"Permanent"
"999",2,"Permanent"
"1000",2,"Permanent"
"1001",2,"Permanent"
"1002",3,"Permanent"
"1003",2,"Permanent"
"1004",2,"Permanent"
"1005",3,"Permanent"
"1006",2,"Permanent"
"1007",2,"Permanent"
"1008",2,"Permanent"
"1009",2,"Permanent"
"1010",2,"Permanent"
"1011",2,"Permanent"
"1012",2,"Permanent"
"1013",3,"Permanent"
"1014",3,"Permanent"
"1015",1,"Permanent"
"1016",1,"Permanent"
"1017",1,"Permanent"
"1018",1,"Permanent"
"1019",1,"Permanent"
"1020",1,"Permanent"
"1021",1,"Permanent"
"1022",1,"Permanent"
"1023",1,"Permanent"
"1024",1,"Permanent"
"1025",1,"Permanent"
"1026",1,"Permanent"
"1027",1,"Permanent"
"1028",1,"Permanent"
"1029",1,"Permanent"
"1030",1,"Permanent"
"1031",1,"Permanent"
"1032",2,"Permanent"
"1033",1,"Permanent"
"1034",1,"Permanent"
"1035",1,"Permanent"
"1036",1,"Permanent"
"1037",2,"Permanent"
"1038",2,"Permanent"
"1039",2,"Permanent"
"1040",2,"Permanent"
"1041",2,"Permanent"
"1042",2,"Permanent"
"1043",2,"Permanent"
"1044",2,"Permanent"
"1045",3,"Permanent"
"1046",2,"Permanent"
"1047",2,"Permanent"
"1048",2,"Permanent"
"1049",2,"Permanent"
"1050",2,"Permanent"
"1051",2,"Permanent"
"1052",2,"Permanent"
"1053",2,"Permanent"
"1054",2,"Permanent"
"1055",2,"Permanent"
"1056",3,"Permanent"
"1057",1,"Permanent"
"1058",1,"Permanent"
"1059",1,"Permanent"
"1060",1,"Permanent"
"1061",1,"Permanent"
"1062",1,"Permanent"
"1063",1,"Permanent"
"1064",1,"Permanent"
"1065",1,"Permanent"
"1066",1,"Permanent"
"1067",1,"Permanent"
"1068",1,"Permanent"
"1069",1,"Permanent"
"1070",1,"Permanent"
"1071",2,"Permanent"
"1072",1,"Permanent"
"1073",1,"Permanent"
"1074",1,"Permanent"
"1075",1,"Permanent"
"1076",1,"Permanent"
"1077",1,"Permanent"
"1078",1,"Permanent"
"1079",1,"Permanent"
"1080",1,"Permanent"
"1081",1,"Permanent"
"1082",3,"Permanent"
"1083",2,"Permanent"
"1084",2,"Permanent"
"1085",2,"Permanent"
"1086",2,"Permanent"
"1087",2,"Permanent"
"1088",2,"Permanent"
"1089",2,"Permanent"
"1090",2,"Permanent"
"1091",2,"Permanent"
"1092",2,"Permanent"
"1093",2,"Permanent"
"1094",2,"Permanent"
"1095",2,"Permanent"
"1096",2,"Permanent"
"1097",2,"Permanent"
"1098",2,"Permanent"
"1099",2,"Permanent"
"1100",3,"Permanent"
"1101",2,"Permanent"
"1102",2,"Permanent"
"1103",3,"Permanent"
"1104",3,"Permanent"
"1105",2,"Permanent"
"1106",2,"Permanent"
"1107",4,"Permanent"
"1108",3,"Permanent"
"1109",3,"Permanent"
"1110",3,"Permanent"
"1111",3,"Permanent"
"1112",3,"Permanent"
"1113",3,"Permanent"
"1114",3,"Permanent"
"1115",1,"Street"
"1116",1,"Street"
"1117",1,"Street"
"1118",1,"Street"
"1119",1,"Street"
"1120",1,"Street"
"1121",1,"Street"
"1122",1,"Street"
"1123",1,"Street"
"1124",1,"Street"
"1125",1,"Street"
"1126",1,"Street"
"1127",1,"Street"
"1128",1,"Street"
"1129",1,"Street"
"1130",1,"Street"
"1131",1,"Street"
"1132",1,"Street"
"1133",2,"Street"
"1134",1,"Street"
"1135",2,"Street"
"1136",2,"Street"
"1137",2,"Street"
"1138",2,"Street"
"1139",2,"Street"
"1140",2,"Street"
"1141",2,"Street"
"1142",2,"Street"
"1143",2,"Street"
"1144",2,"Street"
"1145",2,"Street"
"1146",2,"Street"
"1147",2,"Street"
"1148",2,"Street"
"1149",2,"Street"
"1150",2,"Street"
"1151",3,"Street"
"1152",3,"Street"
"1153",3,"Street"
"1154",3,"Street"
"1155",3,"Street"
"1156",1,"Permanent"
"1157",1,"Permanent"
"1158",1,"Permanent"
"1159",1,"Permanent"
"1160",1,"Permanent"
"1161",1,"Permanent"
"1162",1,"Permanent"
"1163",1,"Permanent"
"1164",1,"Permanent"
"1165",1,"Permanent"
"1166",1,"Permanent"
"1167",1,"Permanent"
"1168",1,"Permanent"
"1169",1,"Permanent"
"1170",1,"Permanent"
"1171",1,"Permanent"
"1172",1,"Permanent"
"1173",1,"Permanent"
"1174",1,"Permanent"
"1175",1,"Permanent"
"1176",2,"Permanent"
"1177",2,"Permanent"
"1178",2,"Permanent"
"1179",2,"Permanent"
"1180",2,"Permanent"
"1181",1,"Permanent"
"1182",2,"Permanent"
"1183",2,"Permanent"
"1184",3,"Permanent"
"1185",2,"Permanent"
"1186",2,"Permanent"
"1187",2,"Permanent"
"1188",2,"Permanent"
"1189",2,"Permanent"
"1190",2,"Permanent"
"1191",2,"Permanent"
"1192",2,"Permanent"
"1193",2,"Permanent"
"1194",2,"Permanent"
"1195",2,"Permanent"
"1196",1,"Permanent"
"1197",2,"Permanent"
"1198",2,"Permanent"
"1199",1,"Permanent"
"1200",3,"Permanent"
"1201",3,"Permanent"
"1202",2,"Permanent"
